frame,x,y,visible
0,-1.0,-1.0,0
1,-1.0,-1.0,0
2,-1.0,-1.0,0
3,822.0,158.0,1
4,832.0,173.0,1
5,842.0,188.0,1
6,852.0,203.0,1
7,862.0,218.0,1
8,872.0,233.0,1
9,882.0,248.0,1
10,892.0,263.0,1
11,902.0,278.0,1
12,912.0,293.0,1
13,922.0,308.0,1
14,932.0,323.0,1
15,942.0,338.0,1
16,944.0,339.0,1
17,946.0,340.0,1
18,946.0,340.0,1
19,948.0,344.0,1
20,944.0,344.0,1
21,940.0,344.0,1
22,942.0,336.0,1
23,942.0,337.0,1
24,942.0,338.0,1
25,942.6666666666667,336.6666666666667,1
26,943.3333333333333,335.33333333333337,1
27,944.0,334.0,1
28,942.0,334.0,1
29,940.0,330.0,1
30,-1.0,-1.0,0
